Time,Sound 1,Sound 1 Level,Distance Right,Distance Left,User Position,Position Back,N Mov Back,N Back total,N Back pos,Position Front,N Mov Front,N Front total,N Front pos
16:54:32,16,Moderate,0,8190,None,LOW,0,0,0,Up,0,0,0
16:54:32,7,Quiet,26,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:32,7,Quiet,26,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:33,7,Quiet,26,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:33,7,Quiet,26,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:33,8,Quiet,26,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:33,7,Quiet,26,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:34,8,Quiet,27,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:34,8,Quiet,26,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:34,6,Quiet,26,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:34,8,Quiet,26,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:35,8,Quiet,26,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:35,7,Quiet,26,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:35,7,Quiet,26,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:35,8,Quiet,26,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:36,7,Quiet,27,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:36,7,Quiet,26,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:36,9,Quiet,26,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:36,2,Quiet,0,8191,None,LOW,0,0,0,Up,0,0,0
16:54:37,7,Quiet,0,8190,None,LOW,0,0,0,Up,0,0,0
16:54:37,7,Quiet,26,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:37,7,Quiet,26,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:37,7,Quiet,26,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:38,7,Quiet,26,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:38,7,Quiet,26,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:38,7,Quiet,0,8190,None,LOW,0,0,0,Up,0,0,0
16:54:38,7,Quiet,0,8190,None,LOW,0,0,0,Up,0,0,0
16:54:39,7,Quiet,26,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:39,7,Quiet,26,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:39,7,Quiet,26,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:39,7,Quiet,26,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:40,7,Quiet,26,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:40,7,Quiet,20,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:40,7,Quiet,25,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:40,7,Quiet,29,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:41,7,Quiet,36,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:41,7,Quiet,37,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:41,15,Moderate,40,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:41,8,Quiet,46,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:42,7,Quiet,48,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:42,7,Quiet,58,8190,None,LOW,0,0,0,Up,0,0,0
16:54:42,8,Quiet,90,500,Right,LOW,0,0,0,Up,0,0,0
16:54:42,12,Moderate,0,468,Right,LOW,0,0,0,Up,0,0,0
16:54:43,7,Quiet,0,523,None,LOW,0,0,0,Up,0,0,0
16:54:43,7,Quiet,0,530,None,LOW,0,0,0,Up,0,0,0
16:54:43,6,Quiet,0,494,Right,LOW,0,0,0,Up,0,0,0
16:54:44,7,Quiet,0,399,Right,LOW,0,0,0,Up,0,0,0
16:54:44,7,Quiet,0,379,Right,LOW,0,0,0,Up,0,0,0
16:54:44,24,Moderate,0,308,Right,LOW,0,0,0,Up,0,0,0
16:54:44,7,Quiet,0,326,Right,LOW,0,0,0,Up,0,0,0
16:54:45,10,Quiet,0,328,Right,LOW,0,0,0,Up,0,0,0
16:54:45,29,Moderate,0,309,Right,LOW,0,0,0,Up,0,0,0
16:54:45,26,Moderate,0,313,Right,LOW,0,0,0,Up,0,0,0
16:54:45,7,Quiet,0,223,Right,LOW,0,0,0,Up,0,0,0
16:54:46,7,Quiet,0,230,Right,LOW,0,0,0,Up,0,0,0
16:54:46,7,Quiet,0,278,Right,LOW,0,0,0,Up,0,0,0
16:54:46,7,Quiet,40,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:47,7,Quiet,30,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:47,7,Quiet,24,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:47,7,Quiet,15,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:47,7,Quiet,14,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:48,74,Loud,11,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:48,8,Quiet,9,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:48,11,Moderate,9,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:48,41,Loud,8,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:48,7,Quiet,8,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:49,13,Moderate,9,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:49,7,Quiet,26,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:49,7,Quiet,20,8190,Left,LOW,0,0,0,Up,0,0,0
16:54:50,7,Quiet,24,8191,Left,LOW,0,0,0,Up,0,0,0
16:54:50,8,Quiet,28,8190,Left,LOW,0,1,1,Up,0,0,0
16:54:50,7,Quiet,28,8190,Left,LOW,0,1,1,Up,0,0,0
16:54:50,7,Quiet,28,8191,Left,LOW,0,1,1,Up,0,0,0
16:54:51,7,Quiet,29,8191,Left,LOW,0,1,1,Up,0,0,0
16:54:51,10,Quiet,33,8191,Left,LOW,0,1,1,Up,0,0,0
16:54:51,7,Quiet,26,8191,Left,LOW,0,1,1,Up,0,0,0
16:54:51,7,Quiet,27,8190,Left,LOW,0,1,1,Up,0,0,0
16:54:52,7,Quiet,45,8191,Left,LOW,0,1,1,Up,0,0,0
16:54:52,7,Quiet,36,8191,Left,LOW,0,1,1,Up,0,0,0
16:54:52,7,Quiet,39,8190,Left,LOW,0,1,1,Up,0,0,0
16:54:52,14,Moderate,43,8190,Left,LOW,0,1,1,Up,0,0,0
16:54:53,7,Quiet,36,8191,Left,LOW,0,1,1,Up,0,0,0
16:54:53,7,Quiet,54,365,Right,LOW,0,1,1,Up,0,0,0
16:54:53,7,Quiet,0,442,Right,LOW,0,1,1,Up,0,0,0
16:54:53,6,Quiet,0,496,Right,LOW,0,1,1,Up,0,0,0
16:54:54,7,Quiet,0,517,None,LOW,0,1,1,Up,0,0,0
16:54:54,6,Quiet,0,423,Right,LOW,0,1,1,Up,0,0,0
16:54:54,7,Quiet,48,8191,Left,LOW,0,1,1,Up,0,0,0
16:54:54,7,Quiet,52,8190,None,LOW,0,1,1,Up,0,0,0
16:54:55,7,Quiet,37,8190,Left,LOW,0,1,1,Up,0,0,0
16:54:55,7,Quiet,24,8191,Left,LOW,0,1,1,Up,0,0,0
16:54:55,7,Quiet,26,8190,Left,LOW,0,1,1,Up,0,0,0
16:54:55,7,Quiet,27,8190,Left,LOW,0,1,1,Up,0,0,0
16:54:56,7,Quiet,26,8190,Left,LOW,0,1,1,Up,0,0,0
16:54:56,7,Quiet,0,8191,None,LOW,0,1,1,Up,0,0,0
16:54:56,7,Quiet,0,8190,None,LOW,0,1,1,Up,0,0,0
16:54:56,7,Quiet,0,8191,None,LOW,0,1,1,Up,0,0,0
16:54:57,6,Quiet,0,8191,None,LOW,0,1,1,Up,0,0,0
16:54:57,7,Quiet,0,8191,None,LOW,0,1,1,Up,0,0,0
16:54:57,7,Quiet,26,8190,Left,LOW,0,1,1,Up,0,0,0
16:54:58,13,Moderate,0,8190,None,LOW,0,1,1,Up,0,0,0
16:54:58,7,Quiet,0,8191,None,LOW,0,1,1,Up,0,0,0
16:54:58,7,Quiet,0,8191,None,LOW,0,1,1,Up,0,0,0
16:54:58,12,Moderate,0,164,Right,LOW,0,1,1,Up,0,0,0
16:54:59,7,Quiet,0,133,Right,LOW,0,1,1,Up,0,0,0
16:54:59,128,Loud,0,166,Right,LOW,0,1,1,Up,0,0,0
16:54:59,10,Quiet,0,164,Right,LOW,0,1,1,Up,0,0,0
16:54:59,54,Loud,0,122,Right,LOW,0,1,1,Up,0,0,0
16:55:00,9,Quiet,0,106,Right,LOW,0,1,1,Up,0,0,0
16:55:00,7,Quiet,34,8190,Left,LOW,0,1,1,Up,0,0,0
16:55:00,7,Quiet,26,8191,Left,LOW,0,1,1,Up,0,0,0
16:55:01,7,Quiet,21,8191,Left,LOW,0,1,1,Up,0,0,0
16:55:01,7,Quiet,20,8191,Left,LOW,0,1,1,Up,0,0,0
16:55:01,20,Moderate,20,8191,Left,LOW,0,1,1,Up,0,0,0
16:55:01,37,Loud,18,8191,Left,LOW,0,1,1,Up,0,0,0
16:55:02,6,Quiet,19,8190,Left,LOW,0,1,1,Up,0,0,0
16:55:02,7,Quiet,20,8191,Left,LOW,0,1,1,Up,0,0,0
16:55:02,6,Quiet,26,8190,Left,LOW,0,2,2,Up,0,0,0
16:55:02,7,Quiet,21,8191,Left,LOW,0,2,2,Up,0,0,0
16:55:03,7,Quiet,14,8191,Left,LOW,0,2,2,Up,0,0,0
16:55:03,7,Quiet,20,8191,Left,LOW,0,2,2,Up,0,0,0
16:55:03,7,Quiet,29,8191,Left,LOW,0,2,2,Up,0,0,0
16:55:03,7,Quiet,35,8191,Left,LOW,0,2,2,Up,0,0,0
16:55:04,7,Quiet,39,8191,Left,LOW,0,2,2,Up,0,0,0
16:55:04,7,Quiet,37,8191,Left,LOW,0,2,2,Up,0,0,0
16:55:04,9,Quiet,33,8190,Left,LOW,0,2,2,Up,0,0,0
16:55:04,7,Quiet,34,8191,Left,LOW,0,2,2,Up,0,0,0
16:55:05,7,Quiet,39,8190,Left,LOW,0,2,2,Up,0,0,0
16:55:05,7,Quiet,0,8191,None,LOW,0,2,2,Up,0,0,0
16:55:05,7,Quiet,0,8191,None,LOW,0,2,2,Up,0,0,0
16:55:05,7,Quiet,0,8191,None,LOW,0,2,2,Up,0,0,0
16:55:06,6,Quiet,0,8191,None,LOW,0,2,2,Up,0,0,0
16:55:06,6,Quiet,0,8190,None,LOW,0,2,2,Up,0,0,0
