Time,Sound 1,Sound 1 Level,Distance Right,Distance Left,User Position,Position Back,N Mov Back,N Back total,N Back pos,Position Front,N Mov Front,N Front total,N Front pos
16:51:17,14,Moderate,0,8191,None,LOW,0,0,0,Up,0,0,0
16:51:17,6,Quiet,0,8191,None,LOW,0,0,0,Up,0,0,0
16:51:17,6,Quiet,0,8190,None,LOW,0,0,0,Up,0,0,0
16:51:18,6,Quiet,0,8191,None,LOW,0,0,0,Up,0,0,0
16:51:18,6,Quiet,0,8191,None,LOW,0,0,0,Up,0,0,0
16:51:18,6,Quiet,0,8191,None,LOW,0,0,0,Up,0,0,0
16:51:19,6,Quiet,0,8190,None,LOW,0,0,0,Up,0,0,0
16:51:19,6,Quiet,0,8191,None,LOW,0,0,0,Up,0,0,0
16:51:19,8,Quiet,0,8191,None,LOW,0,0,0,Up,0,0,0
16:51:20,6,Quiet,0,8191,None,LOW,0,0,0,Up,0,0,0
16:51:20,6,Quiet,0,8190,None,LOW,0,0,0,Up,0,0,0
16:51:20,6,Quiet,0,8190,None,LOW,0,0,0,Up,0,0,0
16:51:20,6,Quiet,0,8191,None,LOW,0,0,0,Up,0,0,0
16:51:21,12,Moderate,0,8191,None,LOW,0,0,0,Up,0,0,0
16:51:21,7,Quiet,0,8191,None,LOW,0,0,0,Up,0,0,0
16:51:21,9,Quiet,0,8190,None,LOW,0,0,0,Up,0,0,0
16:51:22,143,Loud,0,8190,None,LOW,0,0,0,Up,0,0,0
16:51:22,8,Quiet,0,8190,None,LOW,0,0,0,Up,0,0,0
16:51:22,29,Moderate,0,8191,None,LOW,0,0,0,Up,0,0,0
16:51:23,37,Loud,0,8190,None,LOW,0,0,0,Up,0,0,0
16:51:23,295,Loud,0,8191,None,LOW,0,0,0,Up,0,0,0
16:51:23,14,Moderate,0,8190,None,LOW,0,0,0,Up,0,0,0
16:51:24,11,Moderate,0,8191,None,LOW,0,0,0,Up,0,0,0
16:51:24,72,Loud,0,8190,None,LOW,0,0,0,Up,0,0,0
16:51:24,117,Loud,0,8190,None,LOW,0,0,0,Up,0,0,0
16:51:25,7,Quiet,0,8190,None,LOW,0,0,0,Up,0,0,0
16:51:25,15,Moderate,0,8190,None,LOW,0,0,0,Up,0,0,0
16:51:25,6,Quiet,0,8190,None,LOW,0,0,0,Up,0,0,0
16:51:26,6,Quiet,0,292,Right,LOW,0,0,0,Up,0,0,0
16:51:26,6,Quiet,0,389,Right,LOW,0,0,0,Up,0,0,0
16:51:26,7,Quiet,0,622,None,LOW,0,0,0,Up,0,0,0
16:51:27,6,Quiet,0,778,None,LOW,0,0,0,Up,0,0,0
16:51:27,9,Quiet,0,963,None,LOW,0,0,0,Up,0,0,0
16:51:27,7,Quiet,0,1120,None,LOW,0,0,0,Up,0,0,0
16:51:28,7,Quiet,0,1122,None,LOW,0,0,0,Up,0,0,0
